RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type
"16279528","","제니","","Jennie","Ruby","2025","8","n","",""
"1078761","","이상은","","Lee Sang-eun","Gongmudohaga  ～公無渡河歌～","1995","7","n","",""
"14902673","","잠비나이","","Jambinai","발현 (發顯)","2022","7","n","",""
"14254132","","야야 킴","","YAYA Kim","a.k.a YAYA","2022","9","n","",""
"8501955","","야야 킴","","YAYA Kim","Scarlet Shoes","2016","7","n","",""
"12341138","","#####","","","Новые пророки","2020","4","n","",""
"2656231","","#####","","","Пандемия","2009","6","n","",""
"2676077","","11 as in Adversaries","","","The Full Intrepid Experience of Light","2010","4","n","",""
"8236859","","1476","","","Edgar Allan Poe: A Life of Hope &amp; Despair","2014","9","n","",""
"14793155","","156/Silence","","","Narrative","2022","5","n","",""
"1200153","","1980","","","1980","2007","6","n","",""
"15601227","","20 Seconds Falling Man","","","Resilience","2024","6","n","",""
"15433461","","'68","","","Yes, And...","2023","6","n","",""
"1434241","","3nd","","","View From Here","2007","5","n","",""
"2371452","","3nd","","","World Tour","2009","6","n","",""
"15888574","","3ONVEGA","","","Apax","2024","6","n","",""
"14869652","","5AM","","","Buffering","2022","8","n","",""
"14394998","","5AM","","","Onward","2018","8","n","",""
"5999072","","6:33","","","Deadly Scenes","2015","7","n","",""
"13304507","","6:33","","","Feary Tales for Strange Lullabies: The Dome","2021","7","n","",""
"2979256","","6:33","","","Orphan of Good Manners","2011","5","n","",""
"4524454","","6:33 &amp; Arno Strobl","","","The Stench From the Swelling","2013","8","n","",""
"4033535","","6:33 / Arno Strobl","","","Giggles, Garlands &amp; Gallows","2012","7","n","",""
"265875","","7 for 4","","","Contact","2001","8","n","",""
"265876","","7 for 4","","","Time","2004","6","n","",""
"471696","","Aabsinthe","","","The Loss of Illusions","2005","6","n","",""
"15622388","","Aaru","","","SWNPL","2024","6","n","",""
"14956193","","Abbie Falls","","","Hell Is Other People","2022","7","n","",""
"15491405","Michael","Abdow","","","Séance in Black","2023","5","n","",""
"3723466","","Abigail Williams","","","Becoming","2012","4","n","",""
"2869052","","Abigail Williams","","","In the Absence of Light","2010","8","n","",""
"1393809","","Abigail Williams","","","In the Shadow of a Thousand Suns","2008","5","n","",""
"10654635","","Abigail Williams","","","I Will Depart","2019","7","n","",""
"6703586","","Abigail Williams","","","The Accuser","2015","7","n","",""
"10654877","","Abigail Williams","","","Walk Beyond the Dark","2019","9","n","",""
"4812640","","Abigor","","","Leytmotif Luzifer","2014","7","n","",""
"14037714","","Abiotic","","","A Universal Plague: Mutation","2021","3","n","",""
"6239296","","Abiotic","","","Casuistry","2015","6","n","",""
"12214495","","Abiotic","","","Ikigai","2021","5","n","",""
"14022410","","Abiotic","","","Mutation","2021","6","n","",""
"4126566","","Abiotic","","","Symbiosis","2012","5","n","",""
"5171148","","About Tess","","","Shining","2014","7","n","",""
"14194422","","Abraham","","","Débris de mondes perdus","2022","6","n","",""
"15765893","","Abrovinch","","","Abrovinch","2024","5","n","",""
"14323118","","Absent in Body","","","Plague God","2022","7","n","",""
"5756623","","Abstract","","","Lightheory","2014","6","n","",""
"7550447","An","Abstract Illusion","","","Illuminate the Path","2016","8","n","",""
"14810540","An","Abstract Illusion","","","Woe","2022","8","n","",""
"3473983","","Abstrusa Unde","","","Introspection","2011","7","n","",""
"11066356","","Abysmal Dawn","","","Phylogenesis","2020","5","n","",""
"15544955","","Abyssalis","","","The Mountain","2023","7","n","",""
"15657961","","Acadence","","","Destruction of the Gods","2024","3","n","",""
"14846723","","Acadence","","","Eternal Warfare","2022","7","n","",""
"15678216","","Acathexis","","","Immerse","2024","5","n","",""
"14588152","","Achymer","","","Destiny Behind the Scenes","2022","6","n","",""
"4385496","","Acrania","","","The Beginning of the End","2013","2","n","",""
"4631232","","Acrania","","","Totalitarian Dystopia","2014","4","n","",""
"9697193","","Acrania","","","Tyrannical Hierarchy: Vol. 1","2018","4","n","",""
"10105457","","Acres","","","Lonely World","2019","5","n","",""
"1226692","","Across the Rubicon","","","Elegy","2007","7","n","",""
"14592465","","Across The White Water Tower","","","If I Died Right Now, What Would They Remember","2022","6","n","",""
"12804562","","Acrylazea","","","A Cavalcade of Cosmic Calamity","2021","7","n","",""
"7137108","","Ade","","","Carthago delenda est","2016","6","n","",""
"10667210","","Ade","","","Rise of the Empire","2019","5","n","",""
"3923896","","Ade","","","Spartacus","2013","7","n","",""
"4831221","","Adeia","","","Hourglass","2013","7","n","",""
"7608300","","Adeia","","","Serenity","2016","7","n","",""
"8569614","","Adimiron","","","Et liber eris","2017","7","n","",""
"6310517","","Ad Nauseam","","","Nihil quam vacuitas ordinatum est","2015","7","n","",""
"14740166","","Adolf Plays the Jazz","","","Low Life | We Can't Lose. We Have Already Lost.","2022","7","n","",""
"15823907","","Ad Patres","","","Unbreathable","2024","5","n","",""
"15735665","","Adult Jazz","","","So Sorry So Slow","2024","4","n","",""
"15238468","","Aeffect","","","Theory of Mind","2023","4","n","",""
"3905746","Nehl","Aëlin","","","Le Monde Saha","2012","4","n","",""
"3464270","","Aenaon","","","Cendres et sang","2011","5","n","",""
"5024927","","Aenaon","","","Extance","2014","9","n","",""
"6999421","","Aenaon","","","Hypnosophy","2016","7","n","",""
"14898667","","Aenaon","","","Hysteria","2022","5","n","",""
"14790898","","Aenaon","","","Mnemosyne","2022","8","n","",""
"6641712","","Aenaon / Virus of Koch","","","Ultima Momentum / Voro: Forma Mentis","2015","6","n","",""
"13271654","","Ænigmatum","","","Deconsecrate","2021","6","n","",""
"9743673","","Aenimus","","","Dreamcatcher","2019","6","n","",""
"14869694","","Ænimus","","","Sacrificial","2022","8","n","",""
"15855725","","Aeons","","","The Ghosts of What We Knew","2024","5","n","",""
"9902724","","Aephanemer","","","Prokopton","2019","7","n","",""
"15781508","","Aequorea","","","Departure","2024","2","n","",""
"14198447","","Aequorea","","","Dim","2022","7","n","",""
"11104403","","Aeternam","","","Al Qassam","2020","8","n","",""
"14766806","","Aeternam","","","Heir of the Rising Sun","2022","8","n","",""
"9329022","","Aethereus","","","Absentia","2018","7","n","",""
"12749167","","Ætheria Conscientia","","","Corrupted Pillars of Vanity","2021","8","n","",""
"15827415","","Ætheria Conscientia","","","The Blossoming","2024","8","n","",""
"15229727","","Aetherian","","","At Storm's Edge","2023","4","n","",""
"15392125","","Afterbirth","","","In but Not Of","2023","6","n","",""
"16088269","","After Lapse","","","Pathways","2024","7","n","",""
"10054972","","After the Burial","","","Behold the Crown","2019","5","n","",""
"7039259","","After the Burial","","","Dig Deep","2016","4","n","",""
"10051054","","After the Burial","","","Evergreen","2019","4","n","",""
"3148845","","After the Burial","","","In Dreams","2010","3","n","",""
"1618940","","After the Burial","","","Rareform","2008","7","n","",""
"5067709","","After the Burial","","","Wolves Within","2013","4","n","",""
"15513288","","Agabas","","","A Hate Supreme","2023","8","n","",""
"3244498","","Agent Fresco","","","A Long Time Listening","2010","7","n","",""
"6490177","","Agent Fresco","","","Destrier","2015","7","n","",""
"1968264","","Agent Fresco","","","Lightbulb Universe","2008","7","n","",""
"6490148","","Agent Fresco","","","See Hell","2015","5","n","",""
"15800013","","Age of Strange Cults","","","Age of Strange Cults","2024","5","n","",""
"11000509","","Aghora","","","Entheogenic Frequencies","2019","7","n","",""
"13609101","The","Agonist","","","Days Before the World Wept","2021","5","n","",""
"5636966","The","Agonist","","","Eye of Providence","2015","5","n","",""
"7555364","The","Agonist","","","Five","2016","3","n","",""
"1982964","The","Agonist","","","Lullabies for the Dormant Mind","2009","7","n","",""
"958440","The","Agonist","","","Once Only Imagined","2007","6","n","",""
"10350979","The","Agonist","","","Orphans","2019","4","n","",""
"3945032","The","Agonist","","","Prisoners","2012","6","n","",""
"761320","The","Agony Scene","","","Get Damned","2007","6","n","",""
"306999","The","Agony Scene","","","The Darkest Red","2005","7","n","",""
"9209366","The","Agony Scene","","","Tormentor","2018","7","n","",""
"15311211","","Agora","","","Empire","2023","6","n","",""
"15248415","","Agriculture","","","Agriculture","2023","4","n","",""
"8564677","","Agusa","","","Agusa","2017","7","n","",""
"5251550","","Agusa","","","Högtid","2014","7","n","",""
"15850462","","Agusa","","","Noir: Soundtrack to the Movie Malmö Noir","2024","7","n","",""
"15361317","","Agusa","","","Prima Materia","2023","8","n","",""
"14820003","","Ahasver","","","Causa Sui","2022","8","n","",""
"14934367","","Ahleuchatistas","","","Expansion","2022","5","n","",""
"11143254","","Ainsoph","","","Ω - V","2020","6","n","",""
"15708663","","Air Formation","","","Air Formation","2024","2","n","",""
"15146666","","Aisles","","","Beyond Drama","2023","6","n","",""
"15878503","","Aisles","","","Obras de Los Jaivas","2024","5","n","",""
"16036426","","Aisles","","","The Dream","2024","6","n","",""
"9238675","","Aiure","","","Aiure","2018","8","n","",""
"15805099","","Akersborg","","","Feelantropicoco","2023","7","n","",""
"15782744","","Akhlys","","","House of the Black Geminus","2024","6","n","",""
"1564189","","Akphaezya","","","Anthology II: Links From the Dead Trinity","2008","9","n","",""
"3714544","","Akphaezya","","","Anthology IV: The Tragedy of Nerak","2012","8","n","",""
"15874827","","Akphaezya","","","Dissociative Identity Disorder","2024","5","n","",""
"15862672","","Akphaezya","","","Fell Down the Veil (Anthologies I, III &amp; V)","2024","6","n","",""
"15840291","","Akphaezya","","","Nauseating Blend","2024","6","n","",""
"3588706","","Akribi","","","Black Morning Sun","2011","5","n","",""
"5247955","","Akroma","","","La cène","2014","5","n","",""
"15875166","","AKU","","","Solipsism","2024","8","n","",""
"2693437","","Alcest","","","Écailles de lune","2010","5","n","",""
"7567974","","Alcest","","","Kodama","2016","5","n","",""
"15713847","","Alcest","","","Les chants de l'aurore","2024","6","n","",""
"3595008","","Alcest","","","Les voyages de l'âme","2012","5","n","",""
"776199","","Alcest","","","Souvenirs d'un autre monde","2007","4","n","",""
"10582773","Ray","Alder","","","What the Water Wants","2019","5","n","",""
"3604055","","Alesana","","","A Place Where the Sun Is Silent","2011","6","n","",""
"6300738","","Alesana","","","Confessions","2015","7","n","",""
"615155","","Alesana","","","On Frail Wings of Vanity and Wax","2006","7","n","",""
"5366817","","Alesana","","","The Decade EP","2014","6","n","",""
"2471223","","Alesana","","","The Emptiness","2010","7","n","",""
"1371149","","Alesana","","","Where Myth Fades to Legend","2008","7","n","",""
"7117079","The","Algorithm","","","Brute Force","2016","3","n","",""
"14694542","The","Algorithm","","","Data Renaissance","2022","6","n","",""
